19700101 08:29:02.467341 45551 INFO  Socket listening with backlog=4096 - tcp/Socket.cpp:62
19700101 08:29:02.467344 45551 INFO  New connection established - http/HttpServer.cpp:45
19700101 08:29:02.467344 45551 INFO  HttpContext created successfully - http/HttpServer.cpp:49
19700101 08:29:02.467344 45551 INFO  Accept queue empty, waiting for new connections - tcp/Acceptor.cpp:52
19700101 08:29:02.467344 45551 INFO  New connection established - http/HttpServer.cpp:45
19700101 08:29:02.467344 45551 INFO  HttpContext created successfully - http/HttpServer.cpp:49
19700101 08:29:02.467344 45551 INFO  Accept queue empty, waiting for new connections - tcp/Acceptor.cpp:52
19700101 08:29:02.467344 45555 INFO  Read 551 bytes from fd 21 - tcp/Connection.cpp:185
19700101 08:29:02.467344 45555 INFO  Handling request for path: /index.html - HTTP.cpp:12
19700101 08:29:02.467344 45555 INFO  Full filepath: ./index.html - HTTP.cpp:20
19700101 08:29:02.467344 45555 INFO  File found, size=1616 - HTTP.cpp:33
19700101 08:29:02.467344 45555 INFO  172.21.208.1:4570 write complete - http/HttpServer.cpp:110
19700101 08:29:02.467345 45555 INFO  Read 381 bytes from fd 21 - tcp/Connection.cpp:185
19700101 08:29:02.467345 45555 INFO  Handling request for path: /css/style.css - HTTP.cpp:12
19700101 08:29:02.467345 45555 INFO  Full filepath: ./css/style.css - HTTP.cpp:20
19700101 08:29:02.467345 45555 INFO  File found, size=2028 - HTTP.cpp:33
19700101 08:29:02.467345 45555 INFO  172.21.208.1:4570 write complete - http/HttpServer.cpp:110
19700101 08:29:02.467345 45555 INFO  Read 425 bytes from fd 21 - tcp/Connection.cpp:185
19700101 08:29:02.467345 45555 INFO  Handling request for path: /favicon.ico - HTTP.cpp:12
19700101 08:29:02.467345 45555 INFO  Full filepath: ./favicon.ico - HTTP.cpp:20
19700101 08:29:02.467345 45555 INFO  File found, size=4286 - HTTP.cpp:33
19700101 08:29:02.467345 45555 INFO  172.21.208.1:4570 write complete - http/HttpServer.cpp:110
19700101 08:29:02.467352 45551 INFO  New connection established - http/HttpServer.cpp:45
19700101 08:29:02.467352 45551 INFO  HttpContext created successfully - http/HttpServer.cpp:49
19700101 08:29:02.467352 45555 INFO  Connection closed by peer - tcp/Connection.cpp:190
